"공간정보관리번호","X 좌표 최소값","Y 좌표 최소값","X 좌표 최대값","Y 좌표 최대값","제설함번호","관리기관명","위치상세정보","비고"
"3385","211735.1","548510.7","211735.1","548510.7","강동-15","강동구","천호대로 1089","천호대로"
"3386","212307.3","548310.9","212307.3","548310.9","강동-16","강동구","천호대로 1151","천호대로"
"3387","212478.6","548228.6","212478.6","548228.6","강동-17","강동구","천호대로 1162","천호대로"
"3388","213088.7","548579.2","213088.7","548579.2","강동-18","강동구","천호대로 1210","천호대로"
"3389","213507.7","548812.1","213507.7","548812.1","강동-19","강동구","천호대로 1291","천호대로"
"3390","213822.3","548972.2","213822.3","548972.2","강동-20","강동구","천호대로 1291","천호대로"
"3391","214104.3","549117.3","214104.3","549117.3","강동-21","강동구","천호대로 1291","천호대로"
"3392","214374.8","549273.8","214374.8","549273.8","강동-22","강동구","천호대로 1373","천호대로"
"3393","214656.8","549427.2","214656.8","549427.2","강동-23","강동구","천호대로 1426-1","천호대로"
"3394","215270.0","549724.6","215270.0","549724.6","강동-24","강동구","천호대로 1477","천호대로"
"3395","215774.1","549905.3","215774.1","549905.3","강동-25","강동구","상일동 8-3","천호대로"
"3396","211281.7","548977.1","211281.7","548977.1","강동-26","강동구","천호대로157길 53","천호대로"
"3397","211719.7","548712.2","211719.7","548712.2","강동-27","강동구","진황도로 60-1","진황도로"
"3398","212451.1","549047.7","212451.1","549047.7","강동-28","강동구","양재대로 1509","양재대로"
"3399","212974.7","549013.3","212974.7","549013.3","강동-29","강동구","명일로 243","명일로"
"3400","213140.7","549028.1","213140.7","549028.1","강동-30","강동구","길동 43","명일로"
"3401","213297.2","549017.5","213297.2","549017.5","강동-31","강동구","명일로24길 33","명일로"
"3402","211137.6","549545.8","211137.6","549545.8","강동-32","강동구","올림픽로 702","올림픽로"
"3403","211726.0","549469.2","211726.0","549469.2","강동-33","강동구","천중로 93","천중로"
"3404","211838.8","549392.1","211838.8","549392.1","강동-34","강동구","천중로26길 3","천중로"
"3405","211951.0","549371.2","211951.0","549371.2","강동-35","강동구","천중로27길 2","천중로"
"3406","210968.2","550261.2","210968.2","550261.2","강동-36","강동구","상암로 11","상암로"
"3407","211080.0","550168.5","211080.0","550168.5","강동-37","강동구","상암로 14","상암로"
"3408","211277.4","550050.8","211277.4","550050.8","강동-38","강동구","올림픽로 770","올림픽로"
"3409","211786.8","549790.3","211786.8","549790.3","강동-39","강동구","상암로 92","상암로"
"3410","211909.0","549724.2","211909.0","549724.2","강동-40","강동구","구천면로 304","구천면로"
"3411","212118.8","549637.0","212118.8","549637.0","강동-41","강동구","상암로 132","상암로"
"3412","212407.9","549615.1","212407.9","549615.1","강동-42","강동구","상암로 153","상암로"
"3413","212623.8","549631.2","212623.8","549631.2","강동-43","강동구","양재대로 1571","양재대로"
"3414","213138.5","549703.1","213138.5","549703.1","강동-44","강동구","상암로 214","상암로"
"3415","213802.0","549661.7","213802.0","549661.7","강동-45","강동구","상암로 305","상암로"
"3416","213991.4","549599.6","213991.4","549599.6","강동-46","강동구","상암로 315","상암로"
"3417","214278.8","549608.2","214278.8","549608.2","강동-47","강동구","상암로 351","상암로"
"3418","214135.8","550078.7","214135.8","550078.7","강동-48","강동구","구천면로 557","구천면로"
"3419","214268.4","550163.0","214268.4","550163.0","강동-49","강동구","고덕로80길 134","고덕로"
"3420","211068.0","550608.1","211068.0","550608.1","강동-50","강동구","암사동 608-54","고덕로"
"3421","211458.1","550580.3","211458.1","550580.3","강동-51","강동구","올림픽로 826","올림픽로"
