기준일ID,시간대구분,행정동코드,총생활인구수
20210102,18,11380632,16589.4362
20210102,18,11380640,13870.1317
20210102,18,11380650,11408.1339
20210102,18,11380690,65310.3136
20210102,19,11380510,34362.1012
20210102,19,11380520,39212.7311
20210102,19,11380530,22836.3724
20210102,19,11380551,27575.0197
20210102,19,11380552,25364.9861
20210102,19,11380560,27276.7512
20210102,19,11380570,35023.2733
20210102,19,11380580,26963.547
20210102,19,11380590,19771.3868
20210102,19,11380600,23696.3246
20210102,19,11380625,47893.3041
20210102,19,11380631,28152.8543
20210102,19,11380632,16857.3692
20210102,19,11380640,14104.9473
20210102,19,11380650,11545.6793
20210102,19,11380690,65251.6084
20210102,20,11380510,35472.0629
20210102,20,11380520,39597.2426
20210102,20,11380530,22943.5545
20210102,20,11380551,27820.0942
20210102,20,11380552,25626.9062
20210102,20,11380560,27425.6318
20210102,20,11380570,35327.1606
20210102,20,11380580,27070.8106
20210102,20,11380590,19497.2343
20210102,20,11380600,24930.8152
20210102,20,11380625,48301.1266
20210102,20,11380631,28506.4782
20210102,20,11380632,16740.1607
20210102,20,11380640,13811.4292
20210102,20,11380650,11882.2499
20210102,20,11380690,65841.5849
20210102,21,11380510,36272.8357
20210102,21,11380520,39807.9069
20210102,21,11380530,23225.9411
20210102,21,11380551,27731.7347
20210102,21,11380552,25723.4855
20210102,21,11380560,28029.0773
20210102,21,11380570,36172.8902
20210102,21,11380580,27707.3741
20210102,21,11380590,19528.7882
20210102,21,11380600,25882.162
20210102,21,11380625,48758.3109
20210102,21,11380631,28651.6231
20210102,21,11380632,17022.4588
20210102,21,11380640,13521.8209
20210102,21,11380650,12175.6658
20210102,21,11380690,65851.3321
20210102,22,11380510,37261.777
20210102,22,11380520,39462.895
20210102,22,11380530,23111.5403
20210102,22,11380551,26978.5241
20210102,22,11380552,26796.2139
20210102,22,11380560,28052.4629
20210102,22,11380570,37370.154
20210102,22,11380580,28488.7702
20210102,22,11380590,19448.4657
20210102,22,11380600,26960.5977
20210102,22,11380625,48864.5767
20210102,22,11380631,28253.1864
20210102,22,11380632,16999.0765
20210102,22,11380640,13264.7252
20210102,22,11380650,12545.0797
20210102,22,11380690,65880.0956
20210102,23,11380510,39971.228
20210102,23,11380520,36462.7325
