기준일ID,시간대구분,행정동코드,총생활인구수
20201203,3,11380560,29914.9202
20201203,3,11380570,36206.0637
20201203,3,11380580,30275.2427
20201203,3,11380590,20907.5788
20201203,3,11380600,26286.144
20201203,3,11380625,49179.1517
20201203,3,11380631,26689.6521
20201203,3,11380632,18061.8222
20201203,3,11380640,13417.6897
20201203,3,11380650,12389.81
20201203,3,11380690,67129.7465
20201203,4,11380510,39607.0721
20201203,4,11380520,36460.6102
20201203,4,11380530,25596.382
20201203,4,11380551,24307.7859
20201203,4,11380552,29077.9903
20201203,4,11380560,29813.3365
20201203,4,11380570,36150.8529
20201203,4,11380580,30256.2346
20201203,4,11380590,20697.4951
20201203,4,11380600,26168.7792
20201203,4,11380625,48904.0188
20201203,4,11380631,26603.7559
20201203,4,11380632,17973.2014
20201203,4,11380640,13507.5358
20201203,4,11380650,12503.8739
20201203,4,11380690,67086.6148
20201203,5,11380510,39371.0008
20201203,5,11380520,36949.9132
20201203,5,11380530,25004.1976
20201203,5,11380551,24188.4715
20201203,5,11380552,28660.5269
20201203,5,11380560,29434.2285
20201203,5,11380570,35396.5117
20201203,5,11380580,29862.9332
20201203,5,11380590,20487.629
20201203,5,11380600,25860.047
20201203,5,11380625,48314.1689
20201203,5,11380631,26444.5823
20201203,5,11380632,17714.4122
20201203,5,11380640,13572.2429
20201203,5,11380650,12817.3086
20201203,5,11380690,67575.1024
20201203,6,11380510,38724.5804
20201203,6,11380520,36457.0175
20201203,6,11380530,24254.3787
20201203,6,11380551,24630.4243
20201203,6,11380552,27371.5285
20201203,6,11380560,28815.6889
20201203,6,11380570,34492.9194
20201203,6,11380580,29118.4027
20201203,6,11380590,19800.8766
